model,family,class,precision,recall,f1-score,support
TTA+Ensemble,Deep,akiec,0.9,0.8181818181818182,0.8571428571428571,33.0
TTA+Ensemble,Deep,bcc,0.9444444444444444,1.0,0.9714285714285714,51.0
TTA+Ensemble,Deep,bkl,0.8981481481481481,0.8818181818181818,0.8899082568807339,110.0
TTA+Ensemble,Deep,df,1.0,1.0,1.0,12.0
TTA+Ensemble,Deep,mel,0.780952380952381,0.7387387387387387,0.7592592592592593,111.0
TTA+Ensemble,Deep,nv,0.9555555555555556,0.9612518628912072,0.9583952451708768,671.0
TTA+Ensemble,Deep,vasc,0.7777777777777778,1.0,0.875,14.0
