true_label,n,error_rate,avg_hair_ratio,invalid_rate,high_conf_error_rate,risky_error_count
mel,111,0.26126126126126126,0.027405405405405404,0.0,0.05405405405405406,28
akiec,33,0.18181818181818182,0.0246969696969697,0.0,0.09090909090909091,1
bkl,110,0.11818181818181818,0.02479090909090909,0.0,0.045454545454545456,0
nv,671,0.038748137108792845,0.04666318926974665,0.007451564828614009,0.005961251862891207,0
bcc,51,0.0,0.03850980392156863,0.0196078431372549,0.0,0
df,12,0.0,0.04083333333333333,0.0,0.0,0
vasc,14,0.0,0.031857142857142855,0.0,0.0,0
