class,precision,recall,f1-score,support,missed,error_rate,false_positive_pressure
akiec,0.4318181818181818,0.2923076923076923,0.3486238532110092,65.0,45.99999999999999,0.7076923076923076,0.5681818181818181
bcc,0.3559322033898305,0.203883495145631,0.2592592592592592,103.0,82.00000000000001,0.796116504854369,0.6440677966101696
bkl,0.4213483146067415,0.3409090909090909,0.3768844221105528,220.0,145.00000000000003,0.6590909090909092,0.5786516853932585
df,0.0,0.0,0.0,23.0,23.0,1.0,
mel,0.4569536423841059,0.3094170403587444,0.3689839572192513,223.0,154.0,0.6905829596412556,0.5430463576158941
nv,0.8001273074474857,0.9373601789709172,0.8633241758241759,1341.0,84.00000000000007,0.06263982102908283,0.19987269255251428
vasc,0.0,0.0,0.0,28.0,28.0,1.0,
