model,family,class,precision,recall,f1-score,support
Traditional best,Traditional,akiec,0.4318181818181818,0.2923076923076923,0.3486238532110092,65.0
Traditional best,Traditional,bcc,0.3559322033898305,0.203883495145631,0.2592592592592592,103.0
Traditional best,Traditional,bkl,0.4213483146067415,0.3409090909090909,0.3768844221105528,220.0
Traditional best,Traditional,df,0.0,0.0,0.0,23.0
Traditional best,Traditional,mel,0.4569536423841059,0.3094170403587444,0.3689839572192513,223.0
Traditional best,Traditional,nv,0.8001273074474857,0.9373601789709172,0.8633241758241759,1341.0
Traditional best,Traditional,vasc,0.0,0.0,0.0,28.0
